HUC12,NOT_A_PRIORITY_FOR_SHARED_ACTION,INLAND_WATERBODIES,CORRIDORS,MEDIUM_PRIORITY,HIGH_PRIORITY,HIGHEST_PRIORITY
031101010504,1160000.0,0.0,0.0,22320000.0,120000.0,0.0
031101010503,400000.0,0.0,0.0,200000.0,0.0,0.0
031102050804,9800000.0,0.0,0.0,22760000.0,3280000.0,240000.0
031102050805,4680000.0,0.0,0.0,18960000.0,11840000.0,72680000.0
031101020903,91880000.0,0.0,0.0,41560000.0,320000.0,200000.0
031102050803,1760000.0,0.0,0.0,6080000.0,12000000.0,71400000.0
031102050802,5080000.0,0.0,0.0,8520000.0,1560000.0,520000.0
031102050704,9600000.0,0.0,0.0,5440000.0,2680000.0,80120000.0
031101020906,97320000.0,0.0,320000.0,64600000.0,7000000.0,160000.0
031300110704,25840000.0,40000.0,0.0,31880000.0,95320000.0,29880000.0
031101020905,110720000.0,0.0,2560000.0,52360000.0,14560000.0,1680000.0
031102050703,11400000.0,0.0,0.0,14840000.0,0.0,240000.0
031300110706,77120000.0,0.0,0.0,41560000.0,57880000.0,29720000.0
031101020904,56080000.0,0.0,0.0,29040000.0,2400000.0,280000.0
031102050702,54760000.0,0.0,200000.0,160000.0,40000.0,0.0
031101020804,44280000.0,0.0,3320000.0,2000000.0,0.0,0.0
031101010201,0.0,0.0,520000.0,40000.0,0.0,0.0
031300110703,2000000.0,0.0,0.0,9560000.0,65240000.0,0.0
031300110705,6360000.0,1880000.0,160000.0,64000000.0,36560000.0,6720000.0
031300110804,157080000.0,0.0,0.0,112600000.0,66840000.0,49240000.0
031300130504,25040000.0,0.0,0.0,60240000.0,49240000.0,20240000.0
031101020902,156160000.0,0.0,0.0,6400000.0,520000.0,40000.0
031102050701,12360000.0,0.0,0.0,7480000.0,18080000.0,134880000.0
031101020805,18280000.0,0.0,47560000.0,11600000.0,0.0,280000.0
031300110702,1920000.0,0.0,0.0,48360000.0,11080000.0,1800000.0
031101020901,98680000.0,0.0,0.0,22640000.0,12800000.0,0.0
031101020506,4560000.0,0.0,9120000.0,56480000.0,600000.0,2560000.0
031300130305,73000000.0,0.0,0.0,15600000.0,76640000.0,11080000.0
031102050604,55040000.0,0.0,40440000.0,42960000.0,6920000.0,400000.0
031300130402,7640000.0,0.0,0.0,8760000.0,34600000.0,1640000.0
031300130503,94680000.0,0.0,0.0,35440000.0,40440000.0,25320000.0
031300130502,0.0,0.0,0.0,3000000.0,22480000.0,48800000.0
031101020802,70880000.0,0.0,8000000.0,1000000.0,40000.0,0.0
031101020803,101000000.0,0.0,0.0,17360000.0,2320000.0,0.0
031102050603,15400000.0,0.0,8600000.0,9840000.0,7320000.0,132480000.0
031300110701,9280000.0,0.0,360000.0,98160000.0,2240000.0,0.0
031300130403,91840000.0,0.0,0.0,8560000.0,13720000.0,2640000.0
031300130304,1040000.0,0.0,0.0,11400000.0,93160000.0,1760000.0
031101020605,84520000.0,0.0,19840000.0,12360000.0,0.0,0.0
031300110803,0.0,0.0,0.0,240000.0,280000.0,184040000.0
031102050602,35920000.0,0.0,0.0,41520000.0,840000.0,200000.0
031101020505,42480000.0,0.0,280000.0,73680000.0,1680000.0,120000.0
031401010702,0.0,0.0,40000.0,40000.0,0.0,120000.0
031200031203,8520000.0,0.0,0.0,27360000.0,39960000.0,6680000.0
031300130501,0.0,0.0,0.0,14840000.0,24520000.0,28400000.0
031300130401,40000.0,0.0,0.0,10280000.0,64520000.0,3040000.0
031300110802,0.0,0.0,0.0,360000.0,17720000.0,81720000.0
031200031204,44000000.0,0.0,0.0,13680000.0,14760000.0,29800000.0
031101020503,46040000.0,0.0,15600000.0,15400000.0,320000.0,520000.0
031102060701,8040000.0,0.0,80000.0,2480000.0,0.0,0.0
031300130303,0.0,0.0,0.0,14320000.0,33520000.0,36320000.0
031102050601,47520000.0,0.0,640000.0,77640000.0,15600000.0,640000.0
031300130302,0.0,0.0,0.0,3000000.0,30080000.0,19000000.0
031401010703,0.0,0.0,0.0,40000.0,40000.0,0.0
031102060703,6600000.0,0.0,3000000.0,35800000.0,80000.0,80000.0
031300130203,0.0,0.0,0.0,6120000.0,43640000.0,21480000.0
031300120606,960000.0,0.0,2520000.0,9120000.0,4520000.0,92600000.0
030801021101,1880000.0,0.0,9680000.0,320000.0,0.0,40000.0
031200031202,40000.0,0.0,0.0,9880000.0,8800000.0,92680000.0
031102050504,60280000.0,0.0,9880000.0,15160000.0,17480000.0,45840000.0
031102050503,12800000.0,0.0,160000.0,43720000.0,2120000.0,160000.0
031101020703,46200000.0,0.0,4360000.0,40960000.0,0.0,0.0
031101020504,67040000.0,0.0,7880000.0,21360000.0,2800000.0,120000.0
031300110605,0.0,0.0,0.0,1800000.0,4160000.0,69520000.0
